LAT,LONG,ALT
33.74467,73.030871,672.746
33.742588,73.023453,929.009
33.741107,73.016818,703.697
33.740838,73.012202,907.706
33.74013,73.00954,984.52
33.739881,73.003491,736.31
33.737024,72.99846,757.642
33.736179,72.993193,890.267
33.735765,72.990125,789.326
33.732656,72.981963,858.519
33.730511,72.974591,811.895
33.729214,72.967772,813.792
33.726957,72.961269,822.688
33.724487,72.954491,894.344
33.722347,72.951232,747.902
33.720667,72.94752,681.55
33.718916,72.942547,658.807
33.717163,72.937579,633.88
33.714812,72.932637,623.587
33.713047,72.928402,625.202
33.710696,72.924167,633.999
33.70777,72.922015,638.474
33.705424,72.919884,627.056
33.701907,72.917031,623.414
33.699561,72.914186,610.28
33.697215,72.913467,594.884
33.69428,72.911332,589.449
33.69076,72.907762,579.108
33.690175,72.907042,580.144
33.687832,72.905586,565.197
33.686073,72.903433,561.927
33.682552,72.901267,557.539
33.680201,72.897704,550.936
33.676673,72.89485,541.01
33.673138,72.89276,541.501
33.67196,72.892063,549.528
33.669603,72.889248,554.765
33.665481,72.888591,562.851
33.662538,72.887917,567.978
33.659009,72.887218,555.776
33.654895,72.888654,552.741
33.653134,72.891502,560.798
33.651374,72.895773,573.413
33.650794,72.90432,593.471
33.650219,72.915623,590.579
33.649646,72.930436,588.098
33.64966,72.945237,571.127
33.649665,72.951595,571.978
33.650842,72.953727,575.982
33.65378,72.957284,590.194
33.654369,72.960116,595.794
33.657316,72.968542,582.071
33.662611,72.98055,572.733
33.66732,72.990411,565.153
33.675559,73.001676,542.636
33.682035,73.009423,537.036
33.686152,73.016486,546.551
33.691444,73.027795,544.94
33.693795,73.033448,534.618
33.699083,73.048292,546.647
33.70554,73.061021,550.237
33.707893,73.065257,547.204
33.711405,73.075161,557.651
33.7161,73.086468,560.112
33.719037,73.097067,556.553
33.723141,73.107668,553.518
33.734843,73.130992,569.282
33.736025,73.13382,567.826
33.74538,73.157842,599.858
33.753572,73.171973,597.754
33.758815,73.177616,627.131
33.762319,73.184677,636.37
33.765604,73.195855,753.989
33.766383,73.213626,630.757
33.764623,73.239074,612.058
33.756986,73.23693,642.769
33.750543,73.22986,630.176
33.734765,73.210808,597.126
33.722503,73.184684,573.989
33.720752,73.181862,575.63
33.708429,73.158525,545.911
33.699061,73.140856,528.153
33.688503,73.118229,526.901
33.682039,73.095612,513.294
33.676754,73.070172,519.703
33.670288,73.049679,506.759
33.661469,73.029176,516.94
33.652052,73.010127,543.874
33.639695,72.984045,553.807
33.63087,72.967836,580.808
33.626165,72.965005,578.803
33.623812,72.96359,577.015
33.618519,72.962872,556.342
33.614404,72.962173,542.147
33.612053,72.962177,542.903
33.610877,72.962178,539.68
33.60617,72.962163,552.865
33.602639,72.96215,546.835
33.598519,72.962142,545.64
33.597345,72.962854,541.811
33.594994,72.962858,531.597
33.590878,72.964271,536.242
33.589122,72.966409,546.473
33.589125,72.979102,555.073
33.589128,72.988978,534.22
33.597952,73.00379,540.02
33.615594,73.030594,517.943
33.629122,73.048248,502.701
33.643236,73.073686,506.442
33.646761,73.085698,509.997
33.652624,73.128798,493.1
33.659659,73.157071,493.184
33.663756,73.176152,520.086
33.672551,73.194523,538.686
33.674297,73.202987,546.654
33.680153,73.21499,542.217
33.688344,73.229802,545.524
33.693612,73.241815,574.306
33.698299,73.257392,576.377
33.699449,73.262295,582.912
33.701162,73.269271,617.124
33.702236,73.282484,670.244
33.703414,73.303766,645.969
33.704584,73.313697,630.667
33.703958,73.326361,643.094
33.696936,73.329259,643.798
33.686933,73.331261,637.721
33.679279,73.3311,683.285
33.672879,73.327853,599.088
33.668171,73.324173,624.517
33.663496,73.316433,625.515
33.658829,73.308104,575.47
33.657663,73.305317,563.967
33.653569,73.296128,570.659
33.649488,73.277725,579.392
33.644825,73.257307,546.918
33.638974,73.240362,537.624
33.632524,73.228345,531.703
33.627836,73.217741,527.515
33.624321,73.208555,534.977
33.622563,73.201501,526.199
33.620218,73.193033,513.691
33.617276,73.181759,476.661
33.61376,73.168328,483.51
33.610238,73.156315,483.441
33.608487,73.144299,475.847
33.606146,73.130874,491.808
33.604389,73.12169,491.35
33.604396,73.113214,493.458
33.603813,73.105446,503.556
33.603227,73.096263,506.069
33.602056,73.08567,501.049
33.600294,73.072956,499.315
33.598528,73.063064,499.051
33.597352,73.054588,499.342
33.596766,73.048236,504.161
33.596767,73.043295,507.006
33.595593,73.035531,504.644
33.593827,73.031294,513.898
33.59265,73.024234,516.129
33.591473,73.020703,512.183
33.589707,73.017878,517.717
33.586762,73.013636,522.837
33.584406,73.007985,507.152
33.580285,73.000925,518.942
33.577347,72.997405,512.39
33.57441,72.995299,521.082
33.572054,72.994589,518.688
33.567934,72.993176,517.817
33.563831,72.992498,527.804
33.560296,72.992491,525.741
33.556761,72.993188,515.166
33.554992,72.993183,511.666
33.551456,72.995291,511.505
33.547926,72.996704,510.489
33.547335,72.999523,506.138
33.546741,73.006572,502.82
33.54674,73.008687,502.46
33.546723,73.035492,480.703
33.555009,73.066596,526.469
33.56205,73.077882,506.983
33.576731,73.106126,485.393
33.586709,73.136508,492.477
33.595537,73.185214,530.196
33.598432,73.221924,538.618
33.60781,73.253639,556.326
33.618948,73.275472,583.563
33.624183,73.299545,547.979
33.628284,73.327783,748.505
33.629995,73.341386,729.386
33.630582,73.342065,734.521
33.634097,73.346815,822.377
33.634682,73.347489,836.358
33.636435,73.350196,865.993
33.639346,73.355625,889.373
33.641087,73.362469,950.332
33.640493,73.366022,940.92
33.636399,73.366816,877.891
33.627613,73.367028,874.402
33.621148,73.3673,795.656
33.617031,73.366033,727.19
33.614674,73.366127,701.76
33.611137,73.364871,672.548
33.608193,73.362844,611.578
33.604077,73.361471,597.007
33.599961,73.357998,600.248
33.595263,73.353794,602.344
33.593506,73.351667,596.032
33.589983,73.346052,580.732
33.587642,73.338314,589.405
33.58298,73.325561,591.067
33.580049,73.316418,597.91
33.578321,73.311404,584.285
33.572474,73.302892,583.47
33.571279,73.293111,558.251
33.568354,73.284642,542.235
33.567757,73.278331,542.144
33.567741,73.267105,501.656
33.565984,73.257232,495.362
33.564806,73.25371,505.519
33.562468,73.239591,483.039
33.560712,73.226887,469.064
33.560124,73.223359,467.801
33.558948,73.212069,461.88
33.55601,73.203592,457.524
33.555423,73.200767,457.296
33.554256,73.190875,452.063
33.553085,73.182398,451.144
33.553089,73.179572,448.974
33.551921,73.172504,446.381
33.550746,73.164734,442.511
33.550746,73.159084,437.61
33.550155,73.152727,439.238
33.550158,73.1499,439.596
33.548397,73.145658,440.295
33.547805,73.140713,437.398
33.547216,73.138593,430.936
33.546039,73.135765,432.248
33.545452,73.131525,431.319
33.543686,73.127991,434.8
33.543098,73.12587,433.23
33.541329,73.118096,428.79
33.539557,73.11456,432.498
33.537227,73.10891,434.647
33.535445,73.106079,421.255
33.534847,73.10325,450.461
33.534269,73.099719,413.842
33.533109,73.096897,422.881
33.531912,73.092651,422.966
33.530748,73.085589,423.669
33.529692,73.07787,506.551
33.529695,73.071519,497.695
33.529094,73.066572,513.296
33.528493,73.061623,503.662
33.528473,73.055963,471.742
33.528437,73.047466,469.074
33.527843,73.043225,465.069
33.525473,73.038271,461.403
33.524892,73.036864,452.601
33.521356,73.032624,481.889
33.517827,73.029804,492.569
33.514292,73.027684,493.451
33.51134,73.027678,493.87
33.507199,73.029784,466.038
33.504845,73.034729,438.724
33.502487,73.040377,453.662
33.499451,73.049508,426.661
33.497718,73.070016,440.29
33.497757,73.081333,448.814
33.500202,73.098305,445.814
33.508442,73.122311,530.245
33.513169,73.139253,455.734
33.514382,73.164644,511.668
33.518462,73.187936,519.424
33.526084,73.200654,510.269
33.529527,73.210593,479.016
33.534246,73.219763,460.204
33.538352,73.231772,509.503
33.540105,73.237428,475.235
33.54189,73.241639,518.265
33.541895,73.24586,530.508
33.543666,73.250083,541.961
33.546041,73.254989,545.523
33.546627,73.254993,544.102
33.548397,73.258509,542.526
33.550154,73.262042,541.986
33.550738,73.268383,543.622
33.551323,73.270499,547.176
33.552495,73.274026,541.028
33.55425,73.277562,552.564
33.555429,73.280373,543.569
33.555435,73.285283,556.258
33.556,73.295871,587.914
33.55596,73.304379,550.751
33.557705,73.310042,536.438
33.560626,73.314306,534.298
33.560607,73.31716,526.474
33.56297,73.322052,567.798
33.563542,73.333321,564.51
33.567645,73.338979,567.691
33.567627,73.342535,562.681
33.568761,73.34897,539.143
33.570532,73.35106,524.94
